質問,ｎ,知っている(%),知らなかった(%),無回答(%)
ア)投票日前に投票できる制度(期日前投票)があること,(2011),86.8,11.8,1.3
イ)仕事や買い物、旅行などを理由として期日前投票ができること,(1746),85.6,13.0,1.4
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,(1746),71.1,27.5,1.4
エ)期日前投票は、告示日の翌日から投票日の前日(土日含む)までの間できること(東京都知事選挙の場合は16日間),(1746),69.4,29.2,1.5
オ)期日前投票は夜の8時までできること,(1746),62.1,36.5,1.4
カ)今回の選挙で期日前投票ができる場所が特設HPに記載されていること,(1746),17.6,80.9,1.5
