,ｎ,知っていた（％）,知らなかった（％）,,,,,,
全体,1823,95.8,4.2,,,,,,
職業別自営業,133,98.5,1.5,,,,,,
職業別勤め人,821,97.8,2.2,,,,,,
職業別学生,47,97.9,2.1,,,,,,
職業別専業主婦(夫),395,98.2,1.8,,,,,,
職業別その他,25,100.0,0.0,,,,,,
職業別無職(年金受給者含む),402,87.8,12.2,,,,,,
