区分,平成27年分団体数,平成27年分収入額(百万円),平成26年分団体数,平成26年分収入額(百万円),増減団体数,増減収入額(百万円)
パーティーの対価に係る収入総額が一団体につき５千万円以上,0,0,2,226,△2,△226
同１千万円以上５千万円未満,43,768,40,670,3,98
同１千万円未満,111,413,96,356,15,57
計,154,1181,138,1252,16,△71
