,ｎ,選挙期間に入る前から（％）,投票日当日を除く選挙期間中（％）,投票日当日（％）,わからない、忘れた（％）,無回答（％）
今回選挙,987,34.0,45.3,16.9,2.1,1.6
平成24年衆議院議員選挙,1237,34.8,47.7,16.8,0.5,0.2
