,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,無回答（％）
全体,1827,54.4,40.4,4.9,0.3
地域別新聞折込（５区１市）,1189,51.5,43.8,4.5,0.3
地域別各戸配布（18区25市）,638,59.7,34.2,5.6,0.5
