,ｎ,選挙期間に入る前から(7月13日以前)（％）,投票日当日を除く選挙期間中（7月14日から7月30日まで）（％）,投票日当日（7月31日）（％）,わからない、忘れた（％）,無回答（％）
今回選挙,1254,27.9,61.9,9.7,0.5,0.0
平成26年東京都知事選挙,827,26.0,56.2,14.5,2.1,1.2
