,ｎ,日常的に使っている（％）,時々使っている（％）,ほとんど利用しない（％）,無回答（％）
全体,984,86.7,12.2,0.9,0.2
性別男性,505,91.1,7.5,1.4,0.0
性別女性,479,82.0,17.1,0.4,0.4
年齢別20歳代,156,92.9,7.1,0.0,0.0
年齢別30歳代,215,87.9,11.2,0.5,0.0
年齢別40歳代,293,90.8,9.2,0.0,0.0
年齢別50歳代,176,84.1,14.8,0.6,0.6
年齢別60歳代,108,74.1,21.3,4.6,0.0
年齢別70歳代,33,69.7,24.2,6.1,0.0
年齢別80歳以上,3,66.7,33.3,0.0,0.0
職業別自営業,79,87.3,11.4,1.3,0.0
職業別勤め人,675,89.6,9.5,0.7,0.1
職業別学生,33,93.9,6.1,0.0,0.0
職業別専業主婦(夫),124,72.6,25.8,0.8,0.8
職業別その他,10,70.0,30.0,0.0,0.0
職業別無職(年金受給者含む),57,80.7,15.8,3.5,0.0
