,ｎ,日常的に使っている（％）,時々使っている（％）,ほとんど利用しない（％）
全体,1055,88.1,11.5,0.5
性別男性,521,91.4,8.4,0.2
性別女性,534,84.8,14.4,0.7
年齢別18歳,7,100.0,-,-
年齢別19歳,20,100.0,-,-
年齢別20歳代,157,98.7,1.3,0.0
年齢別30歳代,227,93.8,6.2,0.0
年齢別40歳代,322,90.1,9.6,0.3
年齢別50歳代,195,74.4,24.1,1.5
年齢別60歳代,94,77.7,21.3,1.1
年齢別70歳代,26,80.8,19.2,0.0
年齢別80歳以上,7,71.4,28.6,0.0
