年,支出総額（百万円）
1,18527
2,16307
3,20989
4,17974
5,20175
6,15761
7,19742
8,18463
9,18902
10,16151
11,18813
12,17657
13,19329
14,15145
15,20701
16,15728
17,18526
18,13711
19,17610
20,13569
21,17334
22,13745
23,14481
24,13397
25,14902
26,13904
27,14108
