,ｎ,新聞折込で配布（％）,各戸配布（新聞折込以外）（％）,公共施設等に置いてあった（％）,区市町村からの郵送（％）,都及び区市町村・総務省のホームページ（％）
全体,993,49.7,47.8,10.0,5.3,1.6
性別男性,464,48.3,45.9,11.2,5.4,1.7
性別女性,529,51.0,49.5,8.9,5.3,1.5
年齢別20歳代,57,24.6,50.9,15.8,8.8,1.8
年齢別30歳代,103,27.2,61.2,9.7,3.9,2.9
年齢別40歳代,170,40.0,48.2,10.6,4.1,1.8
年齢別50歳代,165,53.3,43.6,11.5,3.6,1.8
年齢別60歳代,210,63.8,46.7,10.5,6.7,1.4
年齢別70歳代,206,57.3,46.1,5.3,4.9,1.0
年齢別80歳以上,82,53.7,43.9,12.2,8.5,1.2
職業別自営業,91,51.6,44.0,7.7,3.3,1.1
職業別勤め人,440,44.1,49.5,11.8,5.9,2.0
職業別学生,11,63.6,36.4,-,-,-
職業別専業主婦(夫),207,55.1,49.8,7.2,5.8,1.0
職業別その他,8,37.5,37.5,37.5,-,-
職業別無職(年金受給者含む),233,54.9,45.1,9.4,5.2,1.7
地域別区部,612,48.9,44.8,10.8,6.0,2.1
地域別市郡部,381,51.2,52.8,8.7,4.2,0.8
