NO.,政治団体の名称,事務所の所在地,座標L(経度),座標B(緯度),座標系,代表者,会計責任者,設立届出日,国会議員関係1,国会議員関係2,資金管理
1,ＩＲ研究会,港区高輪４－２４－４０,139.735674,35.625040,座標系（JGD2011）,草加和徳,草加和徳,H27.6.11,,,
2,合川てつお後援会,あきる野市伊奈４６６－５,139.256005,35.734629,座標系（JGD2011）,田村百蔵,多田修一,H17.2.10,,,
3,愛犬党,渋谷区桜丘町２７－１,139.699503,35.655747,座標系（JGD2011）,小林崇央,薬袋一久,H31.4.5,,,
4,愛国団体大日本松栄連合会,新宿区西新宿６－２６－９,139.688458,35.695510,座標系（JGD2011）,松尾繁憲,斉藤嘉寛,H17.8.3,,,
5,会田智後援会,日野市南平２－２９－９,139.399732,35.656714,座標系（JGD2011）,會田智,佐藤扶貴子,H30.1.10,,,
6,あいだえみこ後援会,西多摩郡奥多摩町梅澤１６２－２,139.166399,35.809472,座標系（JGD2011）,浜野和枝,浜野久江,R1.8.7,,,
7,相田清隆後援会,港区東麻布１－２７－５,139.744555,35.655265,座標系（JGD2011）,相田清隆,相田清隆,H27.2.23,,,
8,会田ひろさだ後援会,葛飾区鎌倉２－３１－１２,139.879188,35.744865,座標系（JGD2011）,會田浩貞,西川泰彦,S61.10.30,,,有
9,愛と感謝の文京区,文京区大塚５－２８－１０,139.729019,35.724517,座標系（JGD2011）,西村修,西村世津子,H31.1.28,,,
10,青木愛を囲む税理士の会,北区赤羽１－４２－８,139.720073,35.781992,座標系（JGD2011）,田口絢子,河井通修,H23.8.3,,,
11,青木英二を育てる会,目黒区原町２－７－１１,139.691796,35.614765,座標系（JGD2011）,青木早苗,青木早苗,H20.2.12,,,
12,青木英太を育てる会,目黒区原町２－７－１１,139.691796,35.614765,座標系（JGD2011）,青木英太,橋本茂利之,H30.6.15,,,有
13,青木かつのり後援会,葛飾区青戸５－３０－１２,139.856186,35.748514,座標系（JGD2011）,青木克徳,山中道正,H21.8.3,,,有
14,青木かつよし後援会,多摩市聖ケ丘１－１１－２,139.454599,35.637814,座標系（JGD2011）,青木勝喜,青木節子,H27.4.1,,,
15,青木けん後援会,国立市谷保３０８５－１３,139.426298,35.677820,座標系（JGD2011）,青木健,鈴木義明,H15.3.14,,,有
16,青木じゅん子後援会,国立市東１－１９－３６,139.450235,35.696691,座標系（JGD2011）,青木淳子,齋藤安由,H26.10.23,,,有
17,青木たけし後援会,福生市熊川２６７,139.334586,35.719114,座標系（JGD2011）,青木健,青海俊伯,H27.1.19,,,有
18,青木博子後援会,北区志茂４－２５－３,139.733628,35.782637,座標系（JGD2011）,青木博子,神田利子,H14.10.15,,,有
19,青木ゆうすけを支える会,東久留米市滝山６－２－６,139.503564,35.747225,座標系（JGD2011）,新居義雄,瀬戸口時春,H30.10.19,,,
20,青鹿和男友の会,西多摩郡日の出町平井１７５８－１９,139.264625,35.739894,座標系（JGD2011）,青鹿和男,湯本二郎,H7.4.6,,,有
21,あおしか公男後援会,台東区松が谷３－２０－１１,139.787734,35.716860,座標系（JGD2011）,青鹿公男,青鹿公男,H27.7.30,,,
22,あおじまみ後援会,新宿区西新宿４－８－１３,139.683982,35.688345,座標系（JGD2011）,イザンベール真美,石井朝子,H29.6.6,,,
23,青空こうじ後援会,世田谷区大原１－３９－１,139.665079,35.669860,座標系（JGD2011）,谷田部政視,谷田部幹枝,H15.3.14,,,有
24,青柳有希子後援会,八王子市北野町５９０－３,139.354745,35.652892,座標系（JGD2011）,佐藤巖,木下イサ子,H22.4.12,,,
25,青山秀雄後援会,昭島市美堀町５－２０－３,139.346743,35.719350,座標系（JGD2011）,原島清,花岡靖智,H10.11.18,,,
26,赤江なつと歩む会,北区豊島４－１６－３４,139.750956,35.761679,座標系（JGD2011）,赤江奈都,今野輝子,H22.11.17,,,有
27,赤城いき生きゆたかの会,目黒区祐天寺２－１９－１０,139.692273,35.635772,座標系（JGD2011）,赤城裕,飯田幹雄,H15.2.25,,,有
28,赤坂大輔後援会,港区南青山２－４－６,139.723512,35.671078,座標系（JGD2011）,赤坂恵美佳,赤坂裕子,H23.2.7,,,
29,赤沼やすお後援会,昭島市郷地町３－８－９,139.383036,35.693831,座標系（JGD2011）,赤沼泰雄,原島護,H14.9.9,,,有
30,赤野秀二後援会,府中市住吉町１－４４－３,139.458548,35.660747,座標系（JGD2011）,赤野秀二,宍倉明雄,H22.11.12,,,
31,赤羽目たみお後援会,江東区千石２－８－１６,139.815779,35.679129,座標系（JGD2011）,富永誠二,坂口良春,H18.6.7,,,
32,赤松大一友の会,三鷹市新川５－１７－４,139.568393,35.675887,座標系（JGD2011）,赤松大一,林信雄,H18.11.13,,,有
33,明るい革新区政をつくる会,荒川区荒川６－３－１,139.779326,35.741229,座標系（JGD2011）,豊田佳二,大内良雄,H1.8.28,,,
34,明るい革新渋谷をつくる会,渋谷区千駄ヶ谷５－３３－３,139.703539,35.687175,座標系（JGD2011）,河田光博,大井一雄,S54.4.5,,,
35,明るい革新墨田区政をつくる会,墨田区押上１－５１－５,139.818454,35.709018,座標系（JGD2011）,後藤寛,山川由美子,S58.3.19,,,
36,明るい革新世田谷を築く会,世田谷区弦巻２－３３－２８,139.650195,35.635471,座標系（JGD2011）,中村博,増渕善雄,H15.3.26,,,
37,明るい革新東久留米をつくる会,東久留米市中央町５－１０－１７,139.515511,35.752131,座標系（JGD2011）,井口信治,伊東俊一,S57.1.5,,,
38,明るい革新東大和をつくる会,東大和市中央２－８７３－４,139.428051,35.746747,座標系（JGD2011）,三矢英臣,三浦成子,H7.2.10,,,
39,明るい住みよい中央区をつくる会,中央区日本橋人形町１－１１－９,139.783381,35.684153,座標系（JGD2011）,橋本敬,石島秀起,S62.4.6,,,
40,明るい地域づくり研究会,杉並区下高井戸２－１０－２１,139.635136,35.669354,座標系（JGD2011）,井原太一,井原とみ子,H14.7.9,,,
41,明るい千代田区政をつくる会,千代田区神田猿楽町１－３－５,139.759430,35.697680,座標系（JGD2011）,辻誠一,加藤勝義,S54.4.2,,,
42,明るいみずほを創る会,西多摩郡瑞穂町むさし野２－３５－３,139.340936,35.760289,座標系（JGD2011）,近藤浩,近藤進,H14.11.26,,,有
43,明るい豊かな社会を築きあげる会,板橋区大山西町４４－８,139.694552,35.746782,座標系（JGD2011）,大友翔,小美野義一,H29.8.15,,,
44,明るく住みよい革新町田をつくる市民の会,町田市本町田９１８,139.450387,35.560991,座標系（JGD2011）,三溝裕子,青嶋智惠子,H25.11.6,,,
45,秋川流域緑の党,西多摩郡日の出町平井３０２４,139.259087,35.747687,座標系（JGD2011）,橋本昭,野崎進,H13.12.4,,,有
46,昭島市医師政治連盟,昭島市緑町２－２８－１,139.349495,35.714109,座標系（JGD2011）,八尾雅章,山川博生,H11.4.5,,,
47,昭島・生活者ネットワーク,昭島市昭和町２－７－１４,139.358791,35.713482,座標系（JGD2011）,多田みゆき,指田みゆき,S63.4.5,,,
48,昭島の未来を考える会,昭島市昭和町５－１０－５,139.360164,35.712253,座標系（JGD2011）,内山真吾,内山朋花,H23.3.3,,,有
49,秋田一郎を育てる会,新宿区西新宿４－１１－１３,139.686292,35.689285,座標系（JGD2011）,秋田一郎,秋田勝也,H12.12.22,,,有
50,秋成おさむ後援会,大田区南蒲田３－１６－１１,139.724625,35.552695,座標系（JGD2011）,秋成靖,黒田友邦,H22.10.25,,,有
51,秋本豊栄後援会,葛飾区西亀有４－１３－８,139.840980,35.764857,座標系（JGD2011）,飯田洋海,秋本さち子,H21.5.14,,,
52,秋元英之後援会,渋谷区上原３－３３－１７,139.675628,35.666422,座標系（JGD2011）,秋元英之,秋元英之,H31.3.18,,,
53,あきやこうき後援会,千代田区九段北１－９－１１,139.750586,35.698020,座標系（JGD2011）,秋谷好基,秋谷好基,H27.2.16,,,
54,秋家聡明後援会,葛飾区柴又６－２０－２２,139.879708,35.756195,座標系（JGD2011）,秋家聡明,秋家正,H13.7.24,,,有
55,秋山薫後援会,日野市日野台４－５－５,139.375926,35.671247,座標系（JGD2011）,秋山薫,谷本良樹,H8.11.1,,,有
56,秋山としゆき後援会,府中市八幡町２－５－７,139.486483,35.669488,座標系（JGD2011）,秋山敏行,大谷将之,H30.7.24,,,
57,秋山よしのり後援会,羽村市川崎４－４－７,139.315758,35.753589,座標系（JGD2011）,秋山義徳,秋山博子,H31.1.18,,,有
58,あきる野市を元気にする会,あきる野市平沢３１６,139.312053,35.730767,座標系（JGD2011）,石井作市,影山守彦,H27.8.21,,,
59,阿久津皇後援会,世田谷区成城２－２９－６,139.596987,35.637999,座標系（JGD2011）,阿久津皇,阿久津美由紀,H23.1.5,,,有
60,阿久津広王後援会,品川区南品川５－１６－５０,139.741747,35.608223,座標系（JGD2011）,阿久津広王,阿久津麻美,H22.12.20,,,有
61,阿久津幸彦を囲む税理士の会,八王子市天神町２－１,139.329243,35.658061,座標系（JGD2011）,加瀬明彦,石田和良,H22.1.22,2,衆,
62,阿久津幸彦を支える会,千代田区永田町２－２－１,139.743089,35.674381,座標系（JGD2011）,阿久津幸彦,家藤義人,H4.10.1,1・2,衆,有
63,アクティブ２１奥多摩の未来を創る会,西多摩郡奥多摩町小丹波３７９－１,139.148432,35.817392,座標系（JGD2011）,柴田昌司,石田良安,H19.1.25,,,
64,明戸まゆみ後援会,荒川区東尾久４－２７－８,139.765423,35.742203,座標系（JGD2011）,井口真弓美,井口真弓美,H20.9.26,,,
65,浅井くにおの会,杉並区上井草４－２４－１３,139.598102,35.721466,座標系（JGD2011）,浅井邦夫,加賀屋喜久子,H22.6.15,,,有
66,浅川修一後援会,立川市砂川町２－６０－２５,139.393452,35.721672,座標系（JGD2011）,太田弘二,香田昌興,S61.5.22,,,
67,浅草歯科医師連盟,台東区寿１－２－３,139.789714,35.706410,座標系（JGD2011）,久保田良一,久保田良一,S51.6.17,,,
