,ｎ,ネット上の情報が一番参考になった（％）,参考にしたが、その他の情報の方が役にたった（％）,ほとんど参考にしなかった（％）,わからない（％）,参考にした（計）（％）
全体,412,27.7,30.1,39.3,2.9,57.8
性別男性,246,31.3,29.3,37.4,2.0,60.6
性別女性,166,22.3,31.3,42.2,4.2,53.6
年齢別18歳,3,33.3,66.7,0.0,0.0,100.0
年齢別19歳,3,33.3,33.3,33.3,0.0,66.7
年齢別20歳代,46,37.0,26.1,34.8,2.2,63.0
年齢別30歳代,91,33.0,25.3,39.6,2.2,58.2
年齢別40歳代,129,31.0,28.7,34.1,6.2,59.7
年齢別50歳代,73,21.9,41.1,35.6,1.4,63.0
年齢別60歳代,45,13.3,28.9,57.8,0.0,42.2
年齢別70歳代,18,16.7,33.3,50.0,0.0,50.0
年齢別80歳以上,4,0.0,0.0,100.0,0.0,-
