,政党支部の名称,事務所の所在地,緯度,経度,座標系,代表者,会計責任者,設立届出日,国会議員関係
1,公明党東京都本部,新宿区南元町１７,35.679380,139.722157,JGD2011,高木陽介,長橋桂一,H6.12.5,
2,公明党千代田総支部,千代田区岩本町１－８－５,35.692348,139.777600,JGD2011,大串博康,米田和也,H6.12.5,
3,公明党参議院東京選挙区第１総支部,千代田区平河町２－１２－１７,35.680817,139.741550,JGD2011,竹谷とし子,池田奈保美,H22.1.4,参
4,公明党中央総支部,中央区晴海１－７－１,35.658122,139.785194,JGD2011,中島賢治,墨谷浩一,H6.12.5,
5,公明党港総支部,港区赤坂９－５－２６,35.668023,139.728667,JGD2011,林田和雄,池田武,H6.12.5,
6,公明党参議院東京選挙区第２総支部,港区虎ノ門１－１－１１,35.670169,139.751323,JGD2011,山口那津男,山下千秋,H10.11.9,参
7,公明党新宿総支部,新宿区高田馬場４－３０－７,35.709528,139.698303,JGD2011,吉倉正美,井下田栄一,H6.12.5,
8,公明党文京総支部,文京区目白台２－１－７,35.715929,139.722526,JGD2011,松丸昌史,渡辺智子,H6.12.5,
9,公明党台東総支部,台東区寿３－９－５,35.707125,139.791193,JGD2011,小菅千保子,松尾伸子,H6.12.5,
10,公明党墨田総支部,墨田区文花２－１６－１０,35.710797,139.825371,JGD2011,加藤雅之,甚野博義,H6.12.5,
11,公明党江東総支部,江東区東陽３－１４－１０,35.670391,139.810752,JGD2011,木内良明,細田勇,H6.12.5,
12,公明党品川総支部,品川区二葉１－９－８,35.607922,139.729374,JGD2011,伊藤興一,若林広毅,H6.12.5,
13,公明党目黒総支部,目黒区中町１－３５－１２,35.631140,139.694099,JGD2011,斉藤泰宏,武藤正浩,H6.12.5,
14,公明党大田総支部,大田区蒲田５－４６－１０,35.560214,139.715903,JGD2011,遠藤守,岡元由美,H6.12.5,
15,公明党世田谷総支部,世田谷区世田谷４－７－３３,35.643516,139.652575,JGD2011,中嶋義雄,板井斎,H6.12.5,
16,公明党渋谷総支部,渋谷区笹塚１－２３－７,35.672973,139.668047,JGD2011,古川斗記男,古川斗記男,H6.12.5,
17,公明党中野総支部,中野区東中野４－３０－１６,35.710445,139.685733,JGD2011,高倉良生,甲田百合子,H6.12.5,
18,公明党杉並総支部,杉並区阿佐谷南３－９－２,35.701396,139.631345,JGD2011,松葉多美子,中村康弘,H6.12.5,
19,公明党豊島総支部,豊島区上池袋３－２５－１１,35.740016,139.719272,JGD2011,長橋桂一,辻薫,H6.12.5,
20,公明党北総支部,北区赤羽南２－１１－１８,35.774840,139.723443,JGD2011,大松成,宮島修,H6.12.5,
21,公明党衆議院小選挙区東京第１２総支部,北区王子２－３２－７,35.756238,139.738512,JGD2011,太田昭宏,坂本友明,H22.3.8,衆
22,公明党荒川総支部,荒川区町屋３－１６－１５,35.748429,139.781382,JGD2011,鈴木貫太郎,菊地秀信,H6.12.5,
23,公明党板橋総支部,板橋区氷川町４４－９,35.751609,139.707001,JGD2011,橘正剛,柴佳代子,H6.12.5,
24,公明党練馬総支部,練馬区中村北４－３－８,35.735936,139.637828,JGD2011,小林健二,柳沢喜美,H6.12.5,
25,公明党足立総支部,足立区中央本町４－１－１,35.773890,139.805705,JGD2011,友利春久,小泉博,H6.12.5,
26,公明党飾総支部,飾区立石５－１４－２,35.743240,139.846292,JGD2011,野上純子,上原有美江,H6.12.5,
27,公明党江戸川総支部,江戸川区松島１－４１－２３,35.706723,139.867561,JGD2011,上野和彦,田中淳子,H6.12.5,
28,公明党八王子総支部,八王子市元本郷町４－２０－２５,35.665989,139.314819,JGD2011,東村邦浩,渡口禎,H6.12.5,
29,公明党立川総支部,立川市高松町２－２６－１４,35.703964,139.419937,JGD2011,伊藤幸秀,山本美智代,H6.12.5,
30,公明党衆議院小選挙区東京第２１総支部,立川市錦町１－４－４,35.696545,139.417120,JGD2011,高木陽介,青木利洋,H17.2.14,衆
31,公明党武蔵野総支部,三鷹市下連雀３－２－１２,35.697976,139.565787,JGD2011,寺井均,粕谷稔,H6.12.5,
32,公明党府中総支部,府中市西原町３－２４－１９,35.684102,139.456178,JGD2011,奈良崎久和,福田千夏,H6.12.5,
33,公明党昭島総支部,昭島市宮沢町５１５－１２,35.715155,139.374607,JGD2011,大嶋博,稲垣米子,H6.12.5,
34,公明党北多摩第三総支部,調布市佐須町２－１０－１２,35.658659,139.554634,JGD2011,小林市之,佐々木貴史,H6.12.5,
35,公明党町田総支部,町田市中町４－８－１８,35.555006,139.446141,JGD2011,小磯善彦,松葉祐巳,H6.12.5,
36,公明党日野総支部,日野市旭が丘６－７－８,35.660972,139.364253,JGD2011,田原茂,窪田知子,H17.3.3,
37,公明党北多摩第一総支部,東村山市廻田町１－２２－５７,35.757533,139.452228,JGD2011,谷村孝彦,伊藤眞一,H6.12.5,
38,公明党北多摩第二総支部,国立市谷保６５４３,35.686522,139.426560,JGD2011,小口俊明,小林正樹,H6.12.5,
39,公明党西多摩総支部,福生市福生１１５９－２０,35.741447,139.321821,JGD2011,原田剛,増崎俊宏,H6.12.5,
40,公明党南多摩総支部,多摩市諏訪１－５０－７,35.629849,139.453414,JGD2011,大久保盛久,三階道雄,H6.12.5,
41,公明党青梅総支部,羽村市小作台３－１８－１,35.776434,139.300282,JGD2011,石居尚郎,小川龍美,H6.12.5,
