質問,n=999(%)
テレビ・ラジオの選挙報道,72.8
新聞・雑誌などの選挙報道,55.3
選挙公報,37.5
テレビ・ラジオの政見放送・経歴放送,22.6
候補者等のポスター,19.2
家族、友人、知人からの勧め,9.4
候補者等の新聞広告,9.2
候補者等の街頭演説,8.0
候補者のホームページ、ツイッター等のネット上の情報,7.9
候補者以外のホームページ、ツイッター等のネット上の情報,6.5
各種団体からの推薦,2.5
候補者等の個人演説会,2.2
候補者のはがき・候補者等のビラ,1.9
候補者の後援会などからの推薦,1.4
その他,1.1
どれにも接していない,0.4
役立ったものはない,2.9
わからない、忘れた,0.3
無回答,0.9
