,ｎ,庁舎・公共施設等での選挙広報用ポスター（女優の広瀬すずさん起用）（％）,選挙広報用の新聞広告（％）,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映（％）,区市町村の広報掲示板（％）,区市町村の広報車（％）,国、都、区市町村の広報誌（％）,コンビニレジ画面の広告（％）,わからない、忘れた（％）,,
全体,1823,34.7,22.0,21.9,21.8,20.6,20.6,13.2,19.4,,
関心度別関心があった(計),1283,40.8,27.7,24.3,27.1,24.3,26.3,14.5,15.2,,
関心度別関心がなかった(計),227,16.7,4.0,10.1,3.1,10.6,5.3,6.2,32.2,,
関心度別どちらともいえない,298,23.8,12.1,21.8,14.1,13.4,8.7,13.8,25.2,,
投票への参加状況別投票した,1435,41.2,25.4,24.0,26.6,23.1,25.2,15.4,15.2,,
投票への参加状況別投票しなかった,377,10.9,9.3,14.6,4.0,11.1,3.7,5.3,34.5,,
