,ｎ,投開票速報及び結果（％）,立候補者の一覧（％）,期日前投票所一覧、開票所一覧（％）,選挙公報（％）,選挙Ｑ＆Ａ（％）,政見放送・経歴放送の日程（％）,東京都知事選挙の概要（投票日や有権者の定義、選挙制度の説明）（％）,わからない、覚えていない（％）,,,,
全体,407,50.1,36.6,27.3,23.6,16.2,9.1,7.4,36.1,,,,
性別男性,233,52.8,40.3,29.6,25.3,18.9,11.2,6.4,31.3,,,,
性別女性,174,46.6,31.6,24.1,21.3,12.6,6.3,8.6,42.5,,,,
年齢別18歳,2,-,50.0,-,50.0,-,-,50.0,50.0,,,,
年齢別19歳,2,50.0,-,-,-,-,-,-,50.0,,,,
年齢別20歳代,36,55.6,22.2,30.6,22.2,11.1,2.8,8.3,33.3,,,,
年齢別30歳代,77,61.0,44.2,32.5,26.0,13.0,5.2,3.9,28.6,,,,
年齢別40歳代,104,61.5,46.2,29.8,28.8,19.2,10.6,5.8,26.9,,,,
年齢別50歳代,86,43.0,31.4,29.1,17.4,16.3,10.5,5.8,38.4,,,,
年齢別60歳代,65,36.9,33.8,18.5,24.6,20.0,13.8,13.8,46.2,,,,
年齢別70歳代,31,32.3,25.8,22.6,16.1,12.9,9.7,9.7,61.3,,,,
年齢別80歳以上,4,25.0,25.0,-,25.0,25.0,-,-,25.0,,,,
