質問,n=1086(%)
新聞折込で配布,54.2
各戸配布(新聞折込以外),41.3
公共施設等に置いてあった,9.4
区市町村からの郵送,2.6
都及び区市町村のホームページ,2.5
わからない、忘れた,2.6
無回答,2.0
