,割合（％）,備考
テレビ,84.2,
新聞,58.2,
パソコンでのインターネット,39.2,
携帯電話・スマートフォン・タブレット等でのインターネット,36.4,
ラジオ,17.7,
雑誌,17.3,
その他,0.8,
特にない,1.3,
無回答,0.4,
,,（ｎ＝1827）
