,全体ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,見た（計）（％）,,,,,
参議院議員選挙,1823,6.3,54.4,13.7,22.9,2.7,74.4,,,,,
東京都知事選挙,1823,8.8,52.5,15.8,20.4,2.6,77.1,,,,,
