,ｎ,駅構内、庁舎・公共施設等での選挙広報用ポスター（％）,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映（％）,区市町村の広報掲示板（％）,選挙広報用の新聞広告（％）,区市町村の広報車（％）,都、区市町村の広報誌（％）,見たり聞いたりしたものはない（％）,わからない、忘れた（％）,,
全体,1823,37.5,27.5,22.5,21.9,21.6,20.8,11.2,19.4,,
関心度別関心があった(計),1424,41.9,29.4,25.7,26.2,25.1,24.6,9.6,15.4,,
関心度別関心がなかった(計),175,16.6,16.0,2.9,2.9,9.1,4.0,22.9,34.3,,
関心度別どちらともいえない,209,28.2,26.8,18.7,10.0,10.0,11.0,11.5,30.6,,
投票への参加状況別投票した,1491,42.7,31.0,26.6,25.6,24.9,24.5,9.1,14.7,,
投票への参加状況別投票しなかった,321,14.6,12.5,4.4,5.3,6.5,4.4,21.2,40.2,,
