質問,n,知っている(%),知らなかった(%),無回答(%)
ア)投票日前に投票できる制度(期日前投票)があること今回選挙,(2011),86.8,11.8,1.3
ア)投票日前に投票できる制度(期日前投票)があること平成25年都議会議員選挙、参議院議員選挙,(1089),93.0,6.2,0.7
イ)仕事や買い物、旅行などを理由として期日前投票ができること今回選挙,(1746),85.6,13.0,1.4
イ)仕事や買い物、旅行などを理由として期日前投票ができること平成25年都議会議員選挙、参議院議員選挙,(1013),78.7,20.5,0.8
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること今回選挙,(1746),71.1,27.5,1.4
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること平成25年都議会議員選挙、参議院議員選挙,(1013),65.7,33.5,0.8
エ)期日前投票は、告示日(公示日)の翌日から投票日の前日(土日含む)までの間できること今回選挙,(1746),69.4,29.2,1.5
エ)期日前投票は、告示日(公示日)の翌日から投票日の前日(土日含む)までの間できること平成25年都議会議員選挙、参議院議員選挙,(1013),56.2,43.0,0.8
オ)期日前投票は夜の8時までできること今回選挙,(1746),62.1,36.5,1.4
オ)期日前投票は夜の8時までできること平成25年都議会議員選挙、参議院議員選挙,(1013),60.5,38.7,0.8
カ)今回の選挙で期日前投票ができる場所が特設HPに記載されていること今回選挙,(1746),17.6,80.9,1.5
