質問,ｎ,ネット上の情報を参考にした程度ネット上の情報が一番参考になった,ネット上の情報を参考にした程度参考にしたが、その他の情報の方が役に立った,ネット上の情報を参考にした程度ほとんど参考にしなかった,ネット上の情報を参考にした程度わからない,ネット上の情報を参考にした程度無回答,参考にした(計)(%)
今回選挙,(999),7.4,12.3,55.0,21.5,3.8,19.7
平成25年参議院議員選挙,(696),6.2,11.5,63.4,16.1,2.9,17.7
