,ｎ,駅構内、庁舎・公共施設等での選挙広報用ポスター（％）,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映（％）,区市町村の広報掲示板（％）,選挙広報用の新聞広告（％）,区市町村の広報車（％）,都、区市町村の広報誌（％）,見たり聞いたりしたものはない（％）,わからない、忘れた（％）,,
全体,1823,37.5,27.5,22.5,21.9,21.6,20.8,11.2,19.4,,
性別男性,852,40.5,30.8,22.3,23.4,21.6,20.8,10.7,18.9,,
性別女性,971,34.9,24.7,22.7,20.6,21.6,20.9,11.7,19.9,,
年齢別18歳,7,14.3,14.3,-,14.3,-,-,14.3,28.6,,
年齢別19歳,20,30.0,15.0,5.0,10.0,10.0,-,20.0,40.0,,
年齢別20歳代,164,37.2,32.3,7.9,7.9,9.8,10.4,12.8,27.4,,
年齢別30歳代,257,45.9,43.6,24.9,16.0,26.1,18.7,7.0,16.0,,
年齢別40歳代,398,43.5,37.2,28.4,19.6,26.4,20.6,10.8,10.3,,
年齢別50歳代,311,40.8,27.7,23.5,29.3,25.1,23.2,10.0,19.3,,
年齢別60歳代,337,35.9,18.7,24.9,26.4,21.7,27.3,13.4,18.1,,
年齢別70歳代,231,24.7,13.0,21.2,24.2,19.5,21.6,13.9,25.5,,
年齢別80歳以上,98,20.4,6.1,13.3,28.6,8.2,19.4,10.2,37.8,,
