質問,n,新聞折込で配布(%),各戸配布(新聞折込以外)(%),公共施設等に置いてあった(%),区市町村からの郵送(%),都及び区市町村のホームページ(%)
全体,(1086),54.2,41.3,9.4,2.6,2.5
公報配布方法別新聞折り込み(5区1市),(131),59.5,35.1,13.7,2.3,3.1
公報配布方法別各戸配布(18区25市),(955),53.5,42.2,8.8,2.6,2.4
