,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,読んだ（計）（％）,,,,
全体,1208,22.4,56.8,13.9,6.9,93.1,,,,
職業別自営業,98,27.6,56.1,13.3,3.1,96.9,,,,
職業別勤め人,507,21.3,54.6,16.6,7.5,92.5,,,,
職業別学生,17,11.8,64.7,17.6,5.9,94.1,,,,
職業別専業主婦(夫),288,19.4,59.4,13.2,8.0,92.0,,,,
職業別その他,18,22.2,50.0,27.8,0.0,100.0,,,,
職業別無職(年金受給者含む),280,26.4,58.2,8.9,6.4,93.6,,,,
選挙への関心度別関心があった(計),1017,26.2,59.5,11.1,3.2,96.8,,,,
選挙への関心度別関心がなかった(計),58,1.7,32.8,25.9,39.7,60.3,,,,
選挙への関心度別どちらともいえない,132,3.0,46.2,30.3,20.5,79.5,,,,
