質問,割合(%)
テレビ・ラジオの選挙報道,82.6
新聞・雑誌などの選挙報道,53.4
選挙公報,38.5
候補者等のポスター,37.6
候補者等の街頭演説,13.6
投票所入場(整理)券,11.5
候補者の新聞広告,9.0
区市町村の広報車,7.1
TV・ラジオ・街頭・コンビニレジ・駅構内ビジョンによるCM放映,7.0
選挙広報用の新聞広告,6.7
家族、友人、知人からの勧め,6.4
都及び区市町村の広報紙,5.5
候補者等のはがき・ビラ,5.2
東京都選挙管理委員会が作成した選挙広報用のポスター,5.2
候補者等のホームページやSNS(ツイッターやフェイスブック等)、動画,4.1
都及び区市町村のホームページ・フェイスブック・ツイッター・インターネット広告(Yahoo!),2.3
候補者の個人演説会,2.1
庁舎や公園などの懸垂幕・横断幕・のぼり旗,1.9
政党、候補者の後援会などからの推薦,1.8
都知事選メッセージバスキャンペーン,0.8
スーパーなどの店内放送・防災無線による放送,0.5
その他,0.7
どれにも接していない,4.1
わからない、忘れた,4.9
無回答,0.1
