,(n=407)（％）,,,,,,,,,
投開票速報及び結果,50.1,,,,,,,,,
立候補者の一覧,36.6,,,,,,,,,
期日前投票所一覧、開票所一覧,27.3,,,,,,,,,
選挙公報,23.6,,,,,,,,,
選挙Ｑ＆Ａ,16.2,,,,,,,,,
政見放送・経歴放送の日程,9.1,,,,,,,,,
東京都知事選挙の概要（投票日や有権者の定義、選挙制度の説明）,7.4,,,,,,,,,
東京都選挙管理委員会のツイッター,5.4,,,,,,,,,
今後の更新予定,4.9,,,,,,,,,
東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,3.7,,,,,,,,,
東京都知事選挙投票率推移や年代別推定投票率のグラフ,2.2,,,,,,,,,
選挙期日等を周知する啓発動画広告（投票用紙をモチーフにしたもの）,2.0,,,,,,,,,
その他,-,,,,,,,,,
わからない、覚えていない,36.1,,,,,,,,,
