,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,無回答（％）
今回選挙,1827,54.4,40.4,4.9,0.3
平成24年衆議院議員選挙,1822,58.6,39.0,2.4,0.1
