質問,n,新聞折込で配布(%),各戸配布(新聞折込以外)(%),公共施設等に置いてあった(%),区市町村からの郵送(%),都及び区市町村のホームページ(%)
全体,(1086),54.2,41.3,9.4,2.6,2.5
選挙への関心度別関心があった(計),(846),57.4,40.7,9.2,2.7,2.4
選挙への関心度別関心がなかった(計),(134),38.1,56.7,9.0,3.0,3.0
選挙への関心度別どちらともいえない,(106),49.1,27.4,11.3,0.9,2.8
新聞の定期購読別定期購読している,(824),67.5,31.7,8.0,1.9,1.8
新聞の定期購読別定期購読していない,(258),12.4,72.1,13.6,4.7,4.7
