指定者,政治団体の名称,事務所の所在地,緯度,経度,座標系
阿久津幸彦,阿久津幸彦を支える会,八王子市中山４４６,35.628129,139.364194,座標系（JGD2011）
石原宏高,石原ひろたかの会,品川区大井１－２２－５,35.606592,139.732676,座標系（JGD2011）
井戸正枝,井戸まさえ勝手応援団,大田区蒲田５－４６－１１,35.560330,139.715980,座標系（JGD2011）
伊藤公介,東京公友会,町田市中町２－６－１１,35.552719,139.441656,座標系（JGD2011）
井上信治,信政会,青梅市新町３－３９－１,35.781266,139.297666,座標系（JGD2011）
太田昭宏,ビジョン２１,北区王子２－３２－７,35.756231,139.738506,座標系（JGD2011）
太田順子,太田順子後援会,北区中十条１－１３－９,35.759433,139.729301,座標系（JGD2011）
小川博,小川博後援会,墨田区緑３－１２－６,35.694724,139.804696,座標系（JGD2011）
小倉將信,将成会,町田市原町田５－４－７,35.545345,139.450009,座標系（JGD2011）
小田原潔,誠潔会,立川市高松町３－１４－１１,35.703047,139.416432,座標系（JGD2011）
越智隆雄,おちたかお政策研究会,世田谷区太子堂４－６－２１,35.643255,139.666637,座標系（JGD2011）
落合貴之,みんなで日本を良くする会,世田谷区太子堂４－５－２,35.643195,139.667250,座標系（JGD2011）
海江田万里,海江田万里を支える会,新宿区四谷３－１１,35.688116,139.719101,座標系（JGD2011）
柿沢未途,新都市経済研究会,江東区富岡１－２６－２１,35.669714,139.800604,座標系（JGD2011）
鹿野晃,かのあきら後援会,三鷹市上連雀８－５－１５,35.683884,139.557224,座標系（JGD2011）
鴨下一郎,鴨下一郎事務所,足立区中央本町４－１－１８,35.773931,139.806069,座標系（JGD2011）
川島智太郎,政治経済研究クラブ「ともの会」,練馬区光が丘７－８－１,35.757798,139.624820,座標系（JGD2011）
菅直人,菅直人を応援する会,武蔵野市中町１－２－９,35.703560,139.559669,座標系（JGD2011）
木内孝胤,木内たかたね後援会,練馬区豊玉北６－１３－３,35.736486,139.651446,座標系（JGD2011）
木原誠二,誠心会,東村山市栄町２－２８－２,35.748343,139.470851,座標系（JGD2011）
木村剛司,剛志会,墨田区吾妻橋２－１－１,35.708111,139.802360,座標系（JGD2011）
熊木美奈子,くまき美奈子後援会,板橋区常盤台１－１－１,35.759009,139.690330,座標系（JGD2011）
小林史明,小林史明を育てる会,千代田区永田町２－２－１,35.674373,139.743111,座標系（JGD2011）
下村博文,博文会,板橋区大山金井町３８－１２,35.747768,139.703412,座標系（JGD2011）
菅原一秀,新時代政経フォーラム,練馬区豊玉北５－２３－１１,35.735904,139.654190,座標系（JGD2011）
高木陽介,高木陽介後援会,立川市錦町１－４－４,35.696545,139.417120,座標系（JGD2011）
竹田光明,竹田光明後援会,東村山市栄町２－３１－１,35.749298,139.469844,座標系（JGD2011）
田畑毅,毅友会,江東区猿江１－１９－７,35.687213,139.811649,座標系（JGD2011）
辻清人,辻清人後援会,台東区日本堤２－２３－１３,35.728066,139.796907,座標系（JGD2011）
土屋正忠,正栄会,武蔵野市中町２－５－２３,35.707423,139.561877,座標系（JGD2011）
手塚仁雄,手塚よしお後援会,目黒区上目黒１－１７－６,35.645515,139.697988,座標系（JGD2011）
長島昭久,長島昭久を育てる会,立川市錦町２－２－５,35.695614,139.416633,座標系（JGD2011）
長妻昭,昭尽会,中野区中央４－１１－１３,35.699506,139.670742,座標系（JGD2011）
野沢哲夫,のざわ哲夫政経研究会,港区浜松町１－１４－１０,35.658418,139.757314,座標系（JGD2011）
萩生田光一,はぎうだ光一後援会,八王子市明神町４－１－２,35.659033,139.344182,座標系（JGD2011）
初鹿明博,東京鹿優会,江戸川区平井３－１０－１０,35.704527,139.841387,座標系（JGD2011）
福村隆,福村隆後援会,新宿区西五軒町５－１３,35.706556,139.737547,座標系（JGD2011）
藤田憲彦,藤田のりひこ後援会,大田区西蒲田７－５－３,35.563907,139.715203,座標系（JGD2011）
又吉光雄,世界経済共同体党,新宿区下落合１－３－１９,35.715735,139.703091,座標系（JGD2011）
松浪健太,道州研,千代田区永田町２－２－１,35.674373,139.743111,座標系（JGD2011）
松原仁,東京未来の会,品川区東大井５－１７－４,35.606705,139.735798,座標系（JGD2011）
松本洋平,洋々会,小平市花小金井南町２－１７－４,35.723311,139.513986,座標系（JGD2011）
三谷英弘,三谷英弘後援会,目黒区柿の木坂１－３２－１７,35.619887,139.675287,座標系（JGD2011）
山下容子,緑の地球ナンバーワンの会,青梅市河辺町５－２９－２６,35.783299,139.287591,座標系（JGD2011）
山田美樹,ねんりんの会,千代田区永田町２－１－２,35.675505,139.742871,座標系（JGD2011）
山花郁夫,山花いくお後援会,調布市布田２－３０－４,35.652303,139.547335,座標系（JGD2011）
吉田康一郎,都市政治経済フォーラム,中野区新井１－１－１６,35.710235,139.669971,座標系（JGD2011）
若宮健嗣,若宮けんじ後援会,千代田区永田町２－１－２,35.675505,139.742871,座標系（JGD2011）
渡邉徹,仁政会,新宿区百人町２－４－７,35.702198,139.699988,座標系（JGD2011）
