質問,n,立候補者の一覧表(%),投開票速報及び結果(%),選挙公報(%),期日前投票所一覧、開票所一覧(%),政見放送・経歴放送の日程(%),東京都選挙管理委員会のツイッター(%),わからない、覚えていない(%)
全体,(195),47.7,36.4,30.3,20.0,13.3,8.7,32.3
性別男性,(103),46.6,35.9,34.0,17.5,14.6,7.8,33.0
性別女性,(92),48.9,37.0,26.1,22.8,12.0,9.8,31.5
年齢別20歳代,(14),50.0,42.9,35.7,21.4,7.1,14.3,28.6
年齢別30歳代,(39),48.7,53.8,30.8,25.6,2.6,12.8,28.2
年齢別40歳代,(39),41.0,23.1,33.3,15.4,15.4,12.8,30.8
年齢別50歳代,(41),51.2,39.0,31.7,22.0,19.5,7.3,29.3
年齢別60歳代,(36),55.6,36.1,22.2,13.9,16.7,2.8,38.9
年齢別70歳代,(20),35.0,20.0,35.0,25.0,15.0,0,45.0
年齢別80歳以上,(4),25.0,50.0,25.0,0,25.0,0,25.0
