質問,ｎ,日常的に使っている(%),時々使っている(%),ほとんど利用しない(%),無回答(%)
今回選挙,(1716),86.5,12.6,0.6,0.3
平成25年都議会議員選挙、参議院議員選挙,(516),83.9,14.9,1.0,0.2
