,ｎ,ネット上の情報が一番参考になった（％）,参考にしたが、その他の情報の方が役にたった（％）,ほとんど参考にしなかった（％）,わからない（％）,参考にした（計）（％）
全体,412,27.7,30.1,39.3,2.9,57.8
職業別自営業,45,28.9,31.1,33.3,6.7,60.0
職業別勤め人,263,31.6,27.4,38.4,2.7,58.9
職業別学生,13,23.1,38.5,38.5,0.0,61.5
職業別専業主婦(夫),54,14.8,42.6,38.9,3.7,57.4
職業別その他,6,33.3,50.0,16.7,0.0,83.3
職業別無職(年金受給者含む),31,16.1,22.6,61.3,0.0,38.7
