,今回選挙（ｎ＝1232）(%),平成26年東京都知事選挙（ｎ＝1086）(%),,,,,
各戸配布（新聞折込以外）,52.3,41.3,,,,,
新聞折込で配布,50.0,54.2,,,,,
公共施設等に置いてあった,11.4,9.4,,,,,
都及び区市町村のホームページ,2.4,2.5,,,,,
区市町村からの郵送,2.4,2.6,,,,,
わからない、忘れた,4.1,2.6,,,,,
無回答,-,2.0,,,,,
