,ｎ,各戸配布（新聞折込以外）（％）,新聞折込で配布（％）,公共施設等に置いてあった（％）,,,,
全体,1232,52.3,50.0,11.4,,,,
職業別自営業,98,65.3,43.9,3.1,,,,
職業別勤め人,523,48.8,51.8,14.3,,,,
職業別学生,17,41.2,52.9,11.8,,,,
職業別専業主婦(夫),296,51.0,52.0,12.5,,,,
職業別その他,17,64.7,35.3,-,,,,
職業別無職(年金受給者含む),281,55.5,47.3,8.2,,,,
地域別区部,902,52.9,49.8,13.9,,,,
地域別市郡部,330,50.6,50.6,4.5,,,,
