質問,n=195(%)
立候補者の一覧表,47.7
投開票速報及び結果,36.4
選挙公報,30.3
期日前投票所一覧、開票所一覧,20.0
政見放送・経歴放送の日程,13.3
東京都選挙管理委員会のツイッター,8.7
東京都知事選挙の概要(投票日や有権者の定義、選挙制度の説明),8.2
選挙Q&A,8.2
東京都選挙管理委員会が作成した東京都知事選挙の啓発動画,5.6
東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,4.1
都知事選メッセージバスキャンペーンサイト,3.6
東京都知事選投票率推移や年代別推定投票率のグラフ,3.6
今後のアップロード予定,1.5
その他,2.6
わからない、覚えていない,32.3
無回答,2.1
