質問,ｎ,知っている(%),知らなかった(%),無回答(%)
全体,(2011),64.2,32.1,3.7
投票への参加状況別投票した,(999),73.4,24.2,2.4
投票への参加状況別投票しなかった,(963),56.0,38.9,5.1
インターネットの利用有無別利用している,(1176),73.5,26.4,0.1
インターネットの利用有無別利用していない,(832),51.3,39.9,8.8
