,今回選挙（平成26年）平均,今回選挙（平成26年）男性,今回選挙（平成26年）女性,24,21,17,15,12,備考
調査における投票率（Ａ）（％）,68.2,70.0,66.6,78.3,80.9,83.6,73.2,83.0,
実際の投票率（Ｂ）（％）,54.4,54.9,53.9,62.2,66.4,65.6,58.4,60.5,
差（Ａ－Ｂ）（％）,13.8,15.1,12.7,16.1,14.5,18.0,14.8,22.5,
,,,,,,,,,注：実際の投票率（Ｂ）は、小数点以下第2位を四捨五入して掲載
,,,,,,,,,※平成15年と平成21年は2～3か月以内の調査開始で差異14％台、平成17年と平成24年は4～5か月以内の調査開始で16％以上の差異となっていることから、投票日から調査開始までの期間が短いほど差異が少なくなる傾向が読み取れる。
