,n,投票日(7月10日)に投票した（％）,期日前投票（又は不在者投票等）をした（％）,投票しなかった（％）,答えたくない（％）,投票した（計）（％）
全体,1823,67.3,11.5,20.7,0.6,78.7
職業別自営業,133,69.2,21.1,9.0,0.8,90.2
職業別勤め人,821,63.6,12.1,23.5,0.9,75.6
職業別学生,47,48.9,8.5,42.6,0.0,57.4
職業別専業主婦(夫),395,75.4,10.6,13.7,0.3,86.1
職業別その他,25,60.0,16.0,24.0,0.0,76.0
職業別無職(年金受給者含む),402,68.7,8.0,22.9,0.5,76.6
選挙への関心度別関心があった(計),1283,79.7,14.3,5.8,0.2,94.0
選挙への関心度別関心がなかった(計),227,26.4,4.4,66.5,2.6,30.8
選挙への関心度別どちらともいえない,298,48.0,5.4,46.3,0.3,53.4
投票への意識別必ず投票するべき,596,83.2,14.8,2.0,0.0,98.0
投票への意識別可能な限り投票するべき,838,74.6,12.4,12.6,0.4,87.0
投票への意識別投票するのもしないのも自由,344,28.5,4.7,65.4,1.5,33.1
投票への意識別その他,1,0.0,0.0,100.0,0.0,-
