,政党支部の名称,事務所の所在地,緯度,経度,座標系,代表者,会計責任者,設立届出日,国会議員関係
1,自由民主党東京都支部連合会,千代田区永田町１－１１－２３,35.678519,139.741474,座標系（JGD2011）,石原伸晃,比留間敏夫,S51.1.20,
2,自由民主党千代田総支部,千代田区九段北１－５－５,35.696556,139.751792,座標系（JGD2011）,内田茂,増田良一,S51.2.6,
3,自由民主党東京都衆議院比例区第五支部,千代田区神田鍛冶町３－５,35.691320,139.772237,座標系（JGD2011）,鈴木隼人,辻恒充,H27.3.25,衆
4,自由民主党東京都千代田区第２支部,千代田区神田淡路町１－１３,35.696158,139.766077,座標系（JGD2011）,内田茂,大坂隆一,H11.12.28,
5,自由民主党東京都千代田区第九支部,千代田区神田須田町２－１５,35.696327,139.773920,座標系（JGD2011）,戸張孝次郎,戸張隆子,H14.7.23,
6,自由民主党東京都千代田区第十一支部,千代田区神田多町２－９－３,35.693324,139.769361,座標系（JGD2011）,松本佳子,松本郁子,H15.4.4,
7,自由民主党東京都千代田区第十二支部,千代田区外神田６－１１－１１,35.704477,139.771140,座標系（JGD2011）,小林泰夫,作道泰明,H14.10.30,
8,自由民主党東京都千代田区第十三支部,千代田区麹町４－５,35.683294,139.736753,座標系（JGD2011）,桜井正,桜井康子,H13.12.21,
9,自由民主党東京都千代田区第十四支部,千代田区岩本町２－６－１２,35.693408,139.775988,座標系（JGD2011）,山田丈夫,山口弘一,H27.2.4,
10,自由民主党東京都千代田区第十五支部,千代田区神田小川町３－２,35.694817,139.762642,座標系（JGD2011）,角谷幹夫,小林秀行,H27.2.20,
11,自由民主党東京都千代田区第十六支部,千代田区三崎町２－４－５,35.699644,139.753710,座標系（JGD2011）,池田友規,中村正夫,H27.3.5,
12,自由民主党東京都千代田区第十七支部,千代田区三崎町３－１０－２１,35.699115,139.752282,座標系（JGD2011）,大坂隆洋,塚田幸宏,H27.2.9,
13,自由民主党東京都千代田区第二十二支部,千代田区神田須田町１－３０,35.696010,139.769674,座標系（JGD2011）,内田直之,内田景子,H22.10.28,
14,自由民主党東京都千代田区第二十三支部,千代田区一番町１３－６,35.686467,139.740401,座標系（JGD2011）,永田壮一,沼山光洋,H23.3.2,
15,自由民主党東京都千代田区第二十六支部,千代田区九段南４－２－１６,35.691352,139.740358,座標系（JGD2011）,嶋崎秀彦,鈴木孝久,H15.2.7,
16,自由民主党島嶼連合支部,千代田区永田町１－１１－２３,35.678519,139.741474,座標系（JGD2011）,八木洋治,加藤賢一,H7.1.4,
17,自由民主党中央区総支部,中央区日本橋浜町２－３１－１,35.687916,139.786963,座標系（JGD2011）,三田芳裕,木村克一,S54.8.15,
18,自由民主党東京都参議院選挙区第三支部,中央区新富２－１５－６,35.671058,139.775143,座標系（JGD2011）,武見敬三,吉川敬,H25.2.26,参
19,自由民主党東京都中央区第２支部,中央区東日本橋１－２－１２,35.690977,139.785721,座標系（JGD2011）,立石晴康,原大行,H11.12.28,
20,自由民主党東京都中央区第十一支部,中央区湊１－１３－２,35.672645,139.780710,座標系（JGD2011）,今野弘美,今野美幸,H15.3.25,
21,自由民主党東京都中央区第十三支部,中央区豊海町２－１,35.654292,139.770842,座標系（JGD2011）,中嶋寛明,中嶋寿江,H15.2.20,
22,自由民主党東京都中央区第十四支部,中央区日本橋人形町２－３０－５,35.686808,139.785161,座標系（JGD2011）,石田英朗,石田和子,H15.2.20,
23,自由民主党東京都中央区第十九支部,中央区築地４－１２－２,35.665668,139.771146,座標系（JGD2011）,礒野忠,荒井重雄,H15.3.31,
24,自由民主党東京都中央区第二十二支部,中央区新富１－７－２,35.673013,139.773871,座標系（JGD2011）,木村克一,木村三香,H18.12.19,
25,自由民主党東京都中央区第二十五支部,中央区日本橋箱崎町３９－３,35.681420,139.787841,座標系（JGD2011）,染谷眞人,染谷多惠子,H24.1.10,
26,自由民主党東京都中央区第二十七支部,中央区日本橋堀留町１－６－９,35.687159,139.779954,座標系（JGD2011）,海老原崇智,渡邉和喜,H27.4.6,
27,自由民主党東京都中央区第二十八支部,中央区日本橋兜町９－１１,35.681358,139.777363,座標系（JGD2011）,塚田秀伸,小西義雄,H27.12.1,
28,自由民主党東京都中央区第二十九支部,中央区日本橋大伝馬町１１－１２,35.689718,139.780219,座標系（JGD2011）,佐藤敦子,石崎静子,H27.4.8,
29,自由民主党東京都中央区第三十支部,中央区日本橋小舟町１５－６－５０３,35.686003,139.779337,座標系（JGD2011）,田中耕太郎,若松亮,H28.1.5,
30,自由民主党港区総支部,港区白金台３－１７－４,35.635811,139.721866,座標系（JGD2011）,菅野弘一,杉原俊雄,S51.2.25,
31,自由民主党東京都参議院選挙区第二支部,港区南青山２－２－１５,35.671503,139.723818,座標系（JGD2011）,中川雅治,沖康雄,H15.9.30,参
32,自由民主党東京都衆議院比例区第一支部,港区元麻布３－１－３０,35.657777,139.727908,座標系（JGD2011）,赤枝恒雄,鈴木美紗,H25.2.28,衆
33,自由民主党東京都港区第八支部,港区芝大門１－６－８,35.657725,139.754034,座標系（JGD2011）,来代勝彦,真田勝年,H12.10.19,
34,自由民主党東京都港区第九支部,港区麻布十番４－３－１,35.654388,139.737244,座標系（JGD2011）,井筒宣弘,井筒幸子,H15.1.22,
35,自由民主党東京都港区第十七支部,港区白金台３－１７－４,35.635811,139.721866,座標系（JGD2011）,菅野弘一,中島章雄,H15.1.22,
36,自由民主党東京都港区第二十支部,港区赤坂８－１２－８,35.669931,139.729694,座標系（JGD2011）,赤坂大輔,赤坂恵美佳,H22.1.20,
