,割合（％）,備考
新聞折込で配布,49.7,
各戸配布（新聞折込以外）,47.8,
公共施設等に置いてあった,10.0,
区市町村からの郵送,5.3,
都及び区市町村・総務省のホームページ,1.6,
わからない、忘れた,3.2,
無回答,1.4,
,,（ｎ＝993）
