,ｎ,選挙期間に入る前から（6月21日以前）（％）,投票日当日を除く選挙期間中（6月22日から7月9日まで）（％）,投票日当日（7月10日）（％）,わからない、忘れた（％）,無回答（％）
今回選挙,1226,21.5,66.2,11.7,0.7,0.0
平成25年参議院議員選挙,579,26.4,54.2,16.1,1.4,1.9
