,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,,,
全体,1823,66.3,23.0,10.7,,,
地域別区部,1381,63.8,24.0,12.2,,,
地域別市郡部,442,74.0,20.1,5.9,,,
