,ｎ,ニュースサイトや選挙情報サイト（％）,候補者・政党等のホームページ・ブログ（％）,まとめサイトや電子掲示板などその他のサイト（％）,触れていない、見ていない（％）
全体,1435,21.7,7.9,5.6,68.6
職業別自営業,120,27.5,14.2,8.3,60.8
職業別勤め人,621,33.3,11.3,8.2,56.5
職業別学生,27,22.2,7.4,18.5,55.6
職業別専業主婦(夫),340,13.2,3.8,3.5,80.3
職業別その他,19,21.1,10.5,-,57.9
職業別無職(年金受給者含む),308,5.2,2.9,1.0,84.7
