実施月日,実施自治体名,学校名,対象学年クラス数,人数,実施形態,添付資料
29.1.25,国分寺市,東京学芸大学,1年生,47人,出前授業/模擬選挙,―
28.6.30,東京都,首都医校,1～3年生,200人,出前講義,出前授業用スライド資料（パワーポイント形式：4MB）
28.6.6,町田市,和光大学,,50人,出前講義,―
28.6.1,国立市,一橋大学,1･2年生,50人,出前講義,出前授業用スライド資料（パワーポイント形式：２MB）
