,ｎ,知っていた（％）,知らなかった（％）,,,,,,
全体,1823,95.8,4.2,,,,,,
性別男性,852,96.9,3.1,,,,,,
性別女性,971,94.7,5.3,,,,,,
年齢別18歳,7,100.0,0.0,,,,,,
年齢別19歳,20,95.0,5.0,,,,,,
年齢別20歳代,164,98.8,1.2,,,,,,
年齢別30歳代,257,98.1,1.9,,,,,,
年齢別40歳代,398,98.7,1.3,,,,,,
年齢別50歳代,311,99.0,1.0,,,,,,
年齢別60歳代,337,93.2,6.8,,,,,,
年齢別70歳代,231,90.9,9.1,,,,,,
年齢別80歳以上,98,82.7,17.3,,,,,,
