,全体ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,無回答（％）,見た（計）（％）,,,,
今回選挙,1823,6.3,54.4,13.7,22.9,2.7,0.0,74.4,,,,
平成25年参議院議員選挙,1089,4.3,44.9,14.5,30.9,2.8,2.7,63.7,,,,
