,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,読んだ（計）（％）,,,,
全体,1232,25.6,56.0,12.7,5.7,94.3,,,,
性別男性,577,29.3,52.5,13.0,5.2,94.8,,,,
性別女性,655,22.3,59.1,12.5,6.1,93.9,,,,
年齢別18歳,3,33.3,66.7,0.0,0.0,100.0,,,,
年齢別19歳,6,0.0,66.7,16.7,16.7,83.3,,,,
年齢別20歳代,61,6.6,54.1,23.0,16.4,83.6,,,,
年齢別30歳代,159,20.1,46.5,21.4,11.9,88.1,,,,
年齢別40歳代,279,24.0,59.1,10.8,6.1,93.9,,,,
年齢別50歳代,233,28.8,56.2,12.9,2.1,97.9,,,,
年齢別60歳代,254,27.6,59.1,11.0,2.4,97.6,,,,
年齢別70歳代,178,30.3,56.2,7.3,6.2,93.8,,,,
年齢別80歳以上,59,33.9,52.5,11.9,1.7,98.3,,,,
