,(n=1823)（％）
駅構内、庁舎・公共施設等での選挙広報用ポスター,37.5
電車内・駅構内のモニター、街中の大型モニターでの動画広告放映,27.5
区市町村の広報掲示板,22.5
選挙広報用の新聞広告,21.9
区市町村の広報車,21.6
都、区市町村の広報誌,20.8
インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,7.6
スーパー、コンビニなどの店内放送、防災無線による放送,5.7
庁舎や公園などの懸垂幕・横断幕,4.7
ラジオ告知（都民ニュース）,4.2
ポケットティッシュ等の広報グッズ,2.2
都及び区市町村のホームページ,2.1
東京都知事選挙イベント（ららぽーと豊洲、ららぽーと立川立飛、東京ソラマチ）,1.2
都、区市町村のＳＮＳ（ツイッター等）,1.2
その他,0.5
見たり聞いたりしたものはない,11.2
わからない、忘れた,19.4
