年,本年収入額（百万円）
1,18113
2,16605
3,21166
4,18484
5,19961
6,16405
7,19931
8,18877
9,18831
10,16613
11,18307
12,17703
13,19251
14,15088
15,20697
16,15909
17,18905
18,14027
19,17716
20,13524
21,17588
22,14068
23,14833
24,14309
25,14840
26,14521
27,14794
