,ｎ,投票日（12月14日）に投票した（％）,期日前投票（又は不在者投票等）をした（％）,投票しなかった（％）,答えたくない（％）,投票した（計）（％）
全体,1827,54.0,14.2,30.8,1.0,68.2
男性男性,882,55.8,14.2,29.3,0.8,70.0
女性女性,945,52.4,14.2,32.3,1.2,66.6
年齢別20歳代,174,39.1,13.2,46.0,1.7,52.3
年齢別30歳代,261,51.0,10.7,36.4,1.9,61.7
年齢別40歳代,365,54.2,13.4,31.0,1.4,67.7
年齢別50歳代,294,52.4,13.9,32.7,1.0,66.3
年齢別60歳代,313,56.9,17.6,25.6,0.0,74.4
年齢別70歳代,296,62.8,17.9,18.6,0.7,80.7
年齢別80歳以上,124,56.5,8.1,35.5,0.0,64.5
職業別自営業,152,53.3,17.8,27.6,1.3,71.1
職業別勤め人,934,50.5,15.0,33.3,1.2,65.5
職業別学生,35,51.4,8.6,37.1,2.9,60.0
職業別専業主婦(夫),309,57.6,14.2,27.8,0.3,71.8
職業別その他,18,38.9,27.8,33.3,0.0,66.7
職業別無職(年金受給者含む),370,60.5,10.8,27.8,0.8,71.4
