,ｎ,日常的に使っている（％）,時々使っている（％）,ほとんど利用しない（％）
全体,1055,88.1,11.5,0.5
職業別自営業,80,86.3,11.3,2.5
職業別勤め人,658,90.6,9.4,0.0
職業別学生,46,100.0,0.0,0.0
職業別専業主婦(夫),199,78.9,20.1,1.0
職業別その他,15,93.3,6.7,0.0
職業別無職(年金受給者含む),57,82.5,15.8,1.8
