,ｎ,各戸配布（新聞折込以外）（％）,新聞折込で配布（％）,公共施設等に置いてあった（％）,,,,
全体,1232,52.3,50.0,11.4,,,,
公報配布方法別新聞折込(5区1市),184,40.2,71.7,11.4,,,,
公報配布方法別各戸配布(18区25市),1048,54.4,46.2,11.4,,,,
