,ｎ,新聞折込で配布（％）,各戸配布（新聞折込以外）（％）,公共施設等に置いてあった（％）,区市町村からの郵送（％）,都及び区市町村・総務省のホームページ（％）
全体,993,49.7,47.8,10.0,5.3,1.6
選挙への関心度別関心があった（計）,719,51.6,47.8,10.2,5.4,1.9
選挙への関心度別関心がなかった（計）,195,49.2,46.7,9.2,5.6,-
選挙への関心度別どちらともいえない,77,33.8,49.4,10.4,3.9,2.6
新聞の定期購読別定期購読している,699,65.7,39.5,8.6,4.6,0.7
新聞の定期購読別定期購読していない,291,11.7,68.0,13.4,7.2,3.8
