,全体ｎ,利用した（％）,知っているが利用していない（％）,知らない（％）,わからない（％）,知っている（計）（％）,,,
参議院議員選挙,1823,5.2,16.9,63.0,14.9,22.1,,,
東京都知事選挙,1823,5.6,16.7,62.8,14.9,22.3,,,
