,(n=1823)（％）,,,,,,,,,,
テレビ・ラジオの選挙報道,87.9,,,,,,,,,,
新聞・雑誌などの選挙報道,53.4,,,,,,,,,,
候補者等のポスター,49.1,,,,,,,,,,
選挙公報,40.5,,,,,,,,,,
テレビ・ラジオの政見放送・経歴放送,23.1,,,,,,,,,,
投票所入場（整理）券,21.9,,,,,,,,,,
候補者等の新聞広告,19.7,,,,,,,,,,
候補者等の街頭演説,17.3,,,,,,,,,,
候補者等の選挙運動用自動車からの連呼,15.1,,,,,,,,,,
候補者等のはがき・ビラ,8.9,,,,,,,,,,
候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,4.7,,,,,,,,,,
家族、友人、知人からの勧め,4.7,,,,,,,,,,
政党、候補者の後援会などからの推薦,1.5,,,,,,,,,,
候補者の個人演説会,1.5,,,,,,,,,,
その他,0.1,,,,,,,,,,
どれにも接していない,3.7,,,,,,,,,,
わからない、忘れた,2.9,,,,,,,,,,
