,ｎ,ネット上の情報が一番参考になった（％）,参考にしたが、その他の情報の方が役にたった（％）,ほとんど参考にしなかった（％）,わからない（％）,参考にした（計）（％）
全体,381,24.9,31.0,41.2,2.9,55.9
性別男性,226,29.6,29.6,38.9,1.8,59.3
性別女性,155,18.1,32.9,44.5,4.5,51.0
年齢別18歳,3,33.3,66.7,0.0,0.0,100.0
年齢別19歳,3,33.3,33.3,33.3,0.0,66.7
年齢別20歳代,39,33.3,28.2,33.3,5.1,61.5
年齢別30歳代,81,29.6,21.0,49.4,0.0,50.6
年齢別40歳代,123,26.8,30.9,35.8,6.5,57.7
年齢別50歳代,68,20.6,44.1,33.8,1.5,64.7
年齢別60歳代,46,15.2,28.3,56.5,0.0,43.5
年齢別70歳代,16,12.5,37.5,50.0,0.0,50.0
年齢別80歳以上,2,0.0,0.0,100.0,0.0,-
