,ｎ,各戸配布（新聞折込以外）（％）,新聞折込で配布（％）,公共施設等に置いてあった（％）,,,,
全体,1232,52.3,50.0,11.4,,,,
選挙への関心度関心があった(計),1102,53.4,50.3,11.6,,,,
選挙への関心度関心がなかった(計),41,46.3,39.0,12.2,,,,
選挙への関心度どちらともいえない,88,39.8,52.3,8.0,,,,
新聞の定期購読定期購読している,974,49.1,57.8,10.9,,,,
新聞の定期購読定期購読していない,258,64.3,20.5,13.2,,,,
