,今回選挙（平成28年）平均,今回選挙（平成28年）男性,今回選挙（平成28年）女性,26,24,23,19,15,11,備考
調査における投票率（Ａ）,81.8,81.7,81.9,49.7,77.7,75.2,74.7,63.3,78.4,
実際の投票率（Ｂ）,59.7,58.2,61.2,46.1,62.6,57.8,54.4,44.9,57.9,
差（Ａ）－（Ｂ）,22.1,23.5,20.7,3.6,15.1,17.4,20.3,18.4,20.5,
,,,,,,,,,,注：実際の投票率（Ｂ）は、小数点以下第２位を四捨五入して掲載
