情報,今回選挙(n=1823)（％）,平成26年衆議院議員選挙(n=1827)（％）
テレビ,88.5,84.2
新聞,66.4,58.2
携帯電話・スマートフォン・タブレット等でのインターネット,49.4,36.4
パソコンでのインターネット,39.9,39.2
ラジオ,16.0,17.7
雑誌,11.0,17.3
その他,0.3,0.8
特にない,0.6,1.3
無回答,-,0.4
