指定者,公職の種類,政治団体の名称,事務所の所在地,緯度,経度,座標系
相川博,都議会議員,八王子活性化研究会,八王子市新町１－８,35.659835,139.340428,座標系（JGD2011）
秋田一郎,都議会議員,秋田一郎を育てる会,新宿区西新宿４－１１－１３,35.689285,139.686292,座標系（JGD2011）
浅野克彦,都議会議員,理想政治フォーラム,練馬区春日町４－１８－８,35.754383,139.638338,座標系（JGD2011）
新井智陽,都議会議員,新井ともはる後援会,日野市旭が丘６－８－１０,35.660204,139.364898,座標系（JGD2011）
荒木田聡,都議会議員,荒木田聡後援会,杉並区天沼２－１７－３,35.707239,139.624034,座標系（JGD2011）
石川良一,都議会議員,多摩稲城かがやく風,稲城市坂浜５６２,35.627763,139.487027,座標系（JGD2011）
泉谷剛,都議会議員,泉谷つよし後援会,豊島区千早２－２９－８,35.734540,139.691347,座標系（JGD2011）
伊藤興一,都議会議員,伊藤興一後援会,品川区西大井５－１７－６,35.597764,139.718572,座標系（JGD2011）
伊藤正樹,都議会議員,伊藤まさき後援会,葛飾区東金町７－３４－７,35.778242,139.885551,座標系（JGD2011）
伊藤悠,都議会議員,伊藤悠後援会,目黒区上目黒１－１７－６,35.645515,139.697988,座標系（JGD2011）
猪爪まさみ,都議会議員,いのつめまさみを育てる会,新宿区百人町３－１６－８,35.706650,139.698885,座標系（JGD2011）
今村廉彦,都議会議員,清彰会,目黒区目黒本町３－３－２,35.621832,139.702792,座標系（JGD2011）
今村路加,都議会議員,今村るか後援会,町田市本町田３５４９－３,35.570918,139.451633,座標系（JGD2011）
岩下純子,都議会議員,岩下純子を育てる会,調布市染地３－１,35.640328,139.555543,座標系（JGD2011）
上田令子,都議会議員,上田令子後援会,江戸川区船堀２－１１－１８,35.683265,139.859709,座標系（JGD2011）
上野和彦,都議会議員,上野和彦後援会,江戸川区小松川３－９－１,35.698830,139.850700,座標系（JGD2011）
宇田川聡史,都議会議員,政経聡友会,江戸川区東葛西１－３７－２４,35.668992,139.880546,座標系（JGD2011）
内田玲子,都議会議員,松下玲子を応援する会,武蔵野市中町１－２－３,35.703776,139.559643,座標系（JGD2011）
海老澤由紀,都議会議員,海老澤由紀後援会,杉並区高円寺南１－６－６,35.698151,139.658376,座標系（JGD2011）
遠藤守,都議会議員,遠藤守後援会,大田区千鳥３－２２－５,35.570721,139.690657,座標系（JGD2011）
大久保青志,都議会議員,大久保青志応援団,品川区豊町６－２９－１３,35.603734,139.716711,座標系（JGD2011）
大澤昇,都議会議員,新政経研究会,江東区森下１－５－５,35.686676,139.798031,座標系（JGD2011）
大津浩子,都議会議員,大津ひろ子Ｏ２ネット,渋谷区笹塚２－１１－２,35.674989,139.668446,座標系（JGD2011）
大塚隆朗,都議会議員,大塚たかあきサポーターズ・クラブ,港区北青山３－３－７,35.668385,139.714894,座標系（JGD2011）
大西智,都議会議員,大西さとると歩む会,足立区西新井栄町１－１９－３１,35.775188,139.787384,座標系（JGD2011）
大場康宣,都議会議員,大場やすのぶ後援会,世田谷区上馬２－１－７,35.635965,139.664408,座標系（JGD2011）
大松成,都議会議員,大松あきら後援会,北区上十条３－４－１０,35.760850,139.718317,座標系（JGD2011）
興津秀憲,都議会議員,興津秀憲後援会,国分寺市本多２－１－１,35.703818,139.481094,座標系（JGD2011）
沖見泰一,都議会議員,おきみ泰一後援会,江戸川区南小岩７－３０－８,35.731799,139.883560,座標系（JGD2011）
尾崎大介,都議会議員,尾崎大介後援会,調布市布田２－３０－４,35.652298,139.547345,座標系（JGD2011）
小澤昌也,都議会議員,小沢まさや後援会,墨田区立花１－２４－１,35.705636,139.831522,座標系（JGD2011）
小沢諭由,都議会議員,小沢ゆう後援会,大田区多摩川２－７－２２,35.558772,139.697715,座標系（JGD2011）
音喜多駿,都議会議員,おときた駿後援会,北区上十条２－２５－１４,35.760499,139.721157,座標系（JGD2011）
柿澤幸絵,都議会議員,野上ゆきえ後援会,江東区富岡１－２６－２１,35.669700,139.800620,座標系（JGD2011）
加藤雅之,都議会議員,加藤まさゆき励ます会,墨田区文花２－１６－１０,35.710797,139.825371,座標系（JGD2011）
門脇文良,都議会議員,門脇文良後援会,杉並区成田東５－３－２７,35.697643,139.630108,座標系（JGD2011）
神野吉弘,都議会議員,かみの吉弘後援会,品川区東五反田１－２５－１３,35.625742,139.728413,座標系（JGD2011）
神林茂,都議会議員,二十一世紀会,大田区西糀谷４－１６－１７,35.554836,139.731441,座標系（JGD2011）
川松真一朗,都議会議員,川松真一朗後援会,墨田区石原３－４－８,35.699158,139.804677,座標系（JGD2011）
菅野弘一,都議会議員,かんの弘一後援会,港区白金台３－１７－４,35.635807,139.721864,座標系（JGD2011）
木内良明,都議会議員,木内良明友の会,江東区大島５－３４－１０,35.689440,139.835173,座標系（JGD2011）
菊地正彦,都議会議員,菊地正彦後援会,港区高輪２－１－１３,35.639310,139.738094,座標系（JGD2011）
木村基成,都議会議員,木村基成後援会,小金井市中町３－７－１,35.697205,139.511263,座標系（JGD2011）
栗林のり子,都議会議員,栗林のり子後援会,世田谷区成城９－３１－２０,35.651115,139.593279,座標系（JGD2011）
栗山芳士,都議会議員,栗山よしじの会,目黒区自由が丘２－６－１９,35.612324,139.667091,座標系（JGD2011）
小礒明,都議会議員,東京明友会,多摩市貝取１４４９－１,35.635588,139.445149,座標系（JGD2011）
小磯善彦,都議会議員,こいそ善彦後援会,町田市図師町１３３５－１,35.581063,139.419728,座標系（JGD2011）
河野雄紀,都議会議員,河野ゆうき後援会,板橋区成増１－２８－１５,35.775958,139.631838,座標系（JGD2011）
小林健二,都議会議員,小林健二後援会,練馬区三原台２－１８－２８,35.756268,139.604488,座標系（JGD2011）
小林弘幸,都議会議員,フロンティア２１,八王子市横川町１０５,35.664977,139.311062,座標系（JGD2011）
