,割合（％）,備考
今回選挙仕事が忙しく、時間がなかったから,29.3,
平成24年衆議院議員選挙仕事が忙しく、時間がなかったから,34.1,
今回選挙適当な候補者がいなかったから,29.1,
平成24年衆議院議員選挙適当な候補者がいなかったから,15.3,
今回選挙病気（看病を含む）又は体調が悪かったから,19.4,
平成24年衆議院議員選挙病気（看病を含む）又は体調が悪かったから,13.7,
今回選挙選挙によって政治や暮らしが良くなるわけではないから,15.3,
平成24年衆議院議員選挙選挙によって政治や暮らしが良くなるわけではないから,11.5,
今回選挙候補者の人柄や政策がわからなかったから,11.5,
平成24年衆議院議員選挙候補者の人柄や政策がわからなかったから,10.9,
今回選挙自分一人が投票しなくても選挙の結果に影響がないから,9.9,
平成24年衆議院議員選挙自分一人が投票しなくても選挙の結果に影響がないから,6.9,
今回選挙政治や選挙には関心がないから,8.9,
平成24年衆議院議員選挙政治や選挙には関心がないから,17.8,
今回選挙投票所へ行くのが面倒だったから,8.5,
平成24年衆議院議員選挙投票所へ行くのが面倒だったから,4.8,
今回選挙旅行に出かけていたから,3.7,
平成24年衆議院議員選挙旅行に出かけていたから,5.1,※1
今回選挙投票日を忘れていたから、知らなかったから,2.5,※2
平成24年衆議院議員選挙投票日を忘れていたから、知らなかったから,-,
今回選挙投票所が遠かった（不便だった、わからなかった）から,1.8,
平成24年衆議院議員選挙投票所が遠かった（不便だった、わからなかった）から,1.0,
今回選挙その他,9.8,
平成24年衆議院議員選挙その他,10.2,
今回選挙わからない、忘れた,0.5,
平成24年衆議院議員選挙わからない、忘れた,0.3,
今回選挙無回答,0.9,
平成24年衆議院議員選挙無回答,2.0,
,,今回選挙（ｎ＝563）
,,平成24年衆議院議員選挙（ｎ＝393）
,,※1平成24年は「旅行やレジャーに出かけていたから」
,,※2今回調査で追加
