,(n=1823)（％）,
テレビ,88.5,
新聞,66.4,
携帯電話・スマートフォン・タブレット等でのインターネット,49.4,
パソコンでのインターネット,39.9,
ラジオ,16.0,
雑誌,11.0,
その他,0.3,
特にない,0.6,
