,政党支部の名称,事務所の所在地,緯度,経度,座標系,代表者,会計責任者,設立届出日,国会議員関係
1,社会民主党東京都連合,中野区東中野１－５０－２,35.705627,139.686406,座標系（JGD2011）,羽田圭二,中條千恵子,S51.2.24,24
2,社会民主党港総支部,港区南青山１－２３－５,35.666549,139.725041,座標系（JGD2011）,堀野国雄,井上芳憲,S51.2.24,24
3,社会民主党新宿総支部,新宿区高田馬場１－３１－８,35.710035,139.703297,座標系（JGD2011）,小川研,小川研,S51.2.24,24
4,社会民主党文京総支部,文京区本駒込６－１５－１３,35.733580,139.748038,座標系（JGD2011）,鎌田信幸,鎌田信幸,S51.2.24,24
5,社会民主党台東総支部,台東区入谷２－９－３,35.719335,139.787913,座標系（JGD2011）,本間文雄,高木正晴,S51.2.24,24
6,社会民主党江東総支部,江東区亀戸７－６７－２,35.694668,139.839249,座標系（JGD2011）,新島恒雄,桐谷和吉,S51.2.24,24
7,社会民主党品川総支部,品川区南品川４－１５－１,35.613164,139.739018,座標系（JGD2011）,川西弘泰,加藤孝,S51.2.24,24
8,社会民主党目黒総支部,目黒区中町１－５－１０,35.631842,139.699933,座標系（JGD2011）,戸沢二郎,戸沢二郎,S51.2.24,24
9,社会民主党大田総支部,大田区大森東１－３５－５,35.576347,139.741075,座標系（JGD2011）,山内正紀,鈴木智,S51.2.24,24
10,社会民主党世田谷総支部,世田谷区若林４－１４－１２,35.646454,139.656525,座標系（JGD2011）,羽田圭二,秋葉英幸,S51.2.24,24
11,社会民主党渋谷総支部,渋谷区恵比寿西２－１１－４,35.649680,139.707140,座標系（JGD2011）,藤村茂樹,村尾貞二,S51.2.24,24
12,社会民主党中野総支部,中野区弥生町５－４－１６,35.686345,139.667245,座標系（JGD2011）,相原龍彦,佐藤修司,S51.2.24,24
13,社会民主党杉並総支部,杉並区本天沼３－３４－３８,35.715693,139.623009,座標系（JGD2011）,市来伴子,栂明宏,S51.2.24,24
14,社会民主党豊島総支部,豊島区池袋４－１４－１２,35.739995,139.707190,座標系（JGD2011）,山口菊子,田中秀樹,S51.2.24,24
15,社会民主党北総支部,北区滝野川２－４３－３,35.749269,139.734074,座標系（JGD2011）,佐藤有恒,平田雅夫,S51.2.24,24
16,社会民主党板橋総支部,板橋区板橋２－６４－１０,35.750392,139.709335,座標系（JGD2011）,高橋正憲,遠藤聡,S51.2.24,24
17,社会民主党練馬総支部,練馬区関町南４－１５－５,35.721480,139.572016,座標系（JGD2011）,宮川孝雄,中村悦子,S51.2.24,24
18,社会民主党八王子総支部,八王子市八幡町１４－１３,35.661087,139.328255,座標系（JGD2011）,植松敏夫,森崎武利,S51.2.24,24
19,社会民主党立川総支部,立川市町２－１５－２０,35.698563,139.416669,座標系（JGD2011）,矢島重治,山本澄夫,S51.2.24,24
20,社会民主党青梅総支部,青梅市大門３－２２－２１,35.794525,139.293670,座標系（JGD2011）,中村富男,堀内勝弘,S51.2.24,24
21,社会民主党府中総支部,府中市日新町５－７２－６１,35.671352,139.437270,座標系（JGD2011）,金澤光,小野眞佐子,S51.2.24,24
22,社会民主党昭島総支部,昭島市美堀町５－２０－３,35.719350,139.346743,座標系（JGD2011）,青山秀雄,海口賢治,S51.2.24,24
23,社会民主党調布総支部,調布市染地３－１－２４,35.642075,139.557118,座標系（JGD2011）,庄司友芳,内藤良雄,S51.2.24,24
24,社会民主党町田総支部,町田市つくし野１－３６－８,35.527834,139.479143,座標系（JGD2011）,谷沢和夫,小竹金次,S51.2.24,24
25,社会民主党小金井総支部,小金井市東町４－８－１９,35.694820,139.525213,座標系（JGD2011）,武井正明,高田守,S51.2.24,24
26,社会民主党小平総支部,小平市回田町３０－７,35.720835,139.494295,座標系（JGD2011）,小林達穂,山本節雄,S51.2.24,24
27,社会民主党日野総支部,日野市東平山２－３１－７,35.650134,139.370481,座標系（JGD2011）,佐藤洋二,佐藤功,S51.2.24,24
28,社会民主党国立総支部,国立市東１－１－１３,35.699129,139.449458,座標系（JGD2011）,田中稔,藤田貴裕,S51.2.24,24
29,社会民主党狛江総支部,狛江市元和泉１－１７－９,35.631648,139.574181,座標系（JGD2011）,市原広子,内山正春,S51.2.24,24
30,社会民主党東久留米総支部,東久留米市滝山６－２－６,35.747208,139.503627,座標系（JGD2011）,佐藤征義,佐藤征義,S51.2.24,24
31,社会民主党多摩総支部,多摩市落合３－１－３,35.620238,139.431512,座標系（JGD2011）,佐久間む津美,山本治史,S51.2.24,24
